,Вакансия,Оплата_min,Оплата_max,Валюта,Сылка на вакансию,Источник
96,Middle QA Automation Engineer (Python),180.0,250.0,руб.,https://krasnodar.hh.ru/vacancy/47174810?from=vacancy_search_list&query=Python,https://hh.ru
97,Middle Python Django developer,110.0,180.0,руб.,https://krasnodar.hh.ru/vacancy/47854117?from=vacancy_search_list&query=Python,https://hh.ru
98,Программист Python,,,,https://krasnodar.hh.ru/vacancy/48442668?from=vacancy_search_list&query=Python,https://hh.ru
99,Data Scientist,100.0,,руб.,https://krasnodar.hh.ru/vacancy/48270565?from=vacancy_search_list&query=Python,https://hh.ru
100,Python Developer,,,,https://krasnodar.hh.ru/vacancy/48356856?from=vacancy_search_list&query=Python,https://hh.ru
101,Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/47382585?from=vacancy_search_list&query=Python,https://hh.ru
102,Back-end python программист,,200.0,руб.,https://krasnodar.hh.ru/vacancy/45987039?from=vacancy_search_list&query=Python,https://hh.ru
103,Senior Python-разработчик,,,,https://krasnodar.hh.ru/vacancy/42202145?from=vacancy_search_list&query=Python,https://hh.ru
104,Программист Python (удаленно),30.0,80.0,руб.,https://krasnodar.hh.ru/vacancy/48465283?from=vacancy_search_list&query=Python,https://hh.ru
105,Программист Python,150.0,,руб.,https://krasnodar.hh.ru/vacancy/48439867?from=vacancy_search_list&query=Python,https://hh.ru
106,Программист-разработчик Python,,,,https://krasnodar.hh.ru/vacancy/48462454?from=vacancy_search_list&query=Python,https://hh.ru
107,Разработчик Python/Scala,,,,https://krasnodar.hh.ru/vacancy/46833140?from=vacancy_search_list&query=Python,https://hh.ru
108,Разработчик Python,,,,https://krasnodar.hh.ru/vacancy/47382594?from=vacancy_search_list&query=Python,https://hh.ru
109,Junior Python developer,30.0,70.0,руб.,https://krasnodar.hh.ru/vacancy/48361866?from=vacancy_search_list&query=Python,https://hh.ru
110,Программист Backend/Python (remote),,,,https://krasnodar.hh.ru/vacancy/47660409?from=vacancy_search_list&query=Python,https://hh.ru
111,Старший python-разработчик,170.0,220.0,руб.,https://krasnodar.hh.ru/vacancy/47870293?from=vacancy_search_list&query=Python,https://hh.ru
